Alimento,Palatabildiade Café (0010),Palatabildiade Almoço (0010),Palatabildiade Jantar (0010),Preço,Alfa0tocoferol (Vitami0 E) (mg), Açúcar de adição (g),Carboidrato disponível (g),Carboidrato total (g), Cinzas (g), Cobre (mg), Colesterol (mg), Cálcio (mg), Energia (kJ/kcal), Equivalente de folato (mcg), Ferro (mg), Fibra alimentar (g), Fósforo (mg), Lipídios (g), Magnésio (mg), Manganês (mg), Niaci0 (mg), Potássio (mg), Proteí0 (g), Riboflavi0 (mg), Sal de adição (g), Selênio (mcg), Sódio (mg), Tiami0 (mg), Umidade (g), Vitami0 A (RAE) (mcg), Vitami0 A (RE) (mcg), Vitami0 B12 (mcg), Vitami0 B6 (mg), Vitami0 C (mg), Vitami0 D (mcg), Zinco (mg), Ácidos graxos monoinsaturados (g), Ácidos graxos poliinsaturados (g), Ácidos graxos saturados (g), Ácidos graxos 0ans (g), Álcool (g)
Limão. casca. in 0tura,6,3,3,2,0.25,0.00,5.40,16.0,0.60,0.09,0.00,134,52,13.0,0.80,10.6,12.0,0.30,15.0,0,0.40,160,1.50,0.08,0.00,0.70,6.00,0.06,81.6,3.00,0,0.00,0.17,129,0.00,0.25,0.01,0.09,0.04,0.00,0.00
Limão. cravo. in 0tura,6,3,3,2,0.11,0,3.67,3.67,0.17,0.02,0,7.13,15,3.81,0.06,0,7.79,0,6.2,0.02,0,83.9,0.23,0,0,0.14,0,0,65.9,11,22,0,0,22.9,0,0,0,0,0,0,0
Linguiça. calabresa. frita. c/ óleo de soja. c/ sal,4,7,7,4,0.15,0,1.07,1.33,1.57,0.03,27.7,3.01,129,2.97,0.22,0.27,72.4,10.6,6.8,0,0.94,130,5.95,0.03,0,9.21,576,0.24,20.5,0,0,0.3,0,0.71,0,0.66,3.08,2.08,2.41,0.03,0
Linguiça. frango. fresca. frita. c/ adição de gordura. c/ sal,4,8,8,4,0.61,0,0,0,2.53,0.02,45.3,9.31,143,1.9,0.47,0,156,11.1,17.4,0.06,3.38,217,10.9,0.03,0.27,4.28,928,0.07,35.6,0,0,0.34,0,0,0,0.7,4.3,2.57,2.99,0.02,0
Linguiça. frita,4,8,8,4,0.26,0,0,0,1.53,0.04,30.1,4.39,102,0.34,0.43,0,92.1,7.97,8.85,0.12,2.3,143,7.75,0.02,0,0,549,0.1,22.8,0,0,0.34,0,0,0.41,1.41,3.08,1.4,2.3,0.01,0
Lombo. ca0dense. defumado,6,7,6,10,0.03,0,0,0,0.27,0.04,20.6,1.6,40,0,1.88,0,85.6,1.28,4.4,0.13,2.49,80.2,7.15,0.01,0,0,285,0.15,11.3,0,0,0.16,0.02,0,0.07,1.6,0.58,0.14,0.52,0,0
Lula ensopada com legumes. c/ sal,4,6,6,15,0.55,0.00,2.02,3.31,1.35,0.06,99.6,21.3,66,16.2,1.00,1.28,20.8,1.96,24.5,0.13,1.14,195,9.32,0.05,0.45,0.82,359,0.07,84.1,48.6,92.3,0.00,0.03,15.0,0.01,0.82,0.31,0.94,0.40,0.02,0.00
Lula recheada com camarão,4,7,6,20,0.46,0,1.64,2.53,1.69,0.08,129,22.2,78,9.13,1.1,0.89,34.6,2.63,28.4,0.47,0.84,197,11.4,0.03,0.41,0.14,472,0.08,71.8,16,29.3,0.12,0.03,6.36,0.01,0.93,0.46,1.29,0.5,0,0
Maçã. verde. s/ casca. in 0tura,7,4,3,3,0.65,0,13.8,16.9,0.26,0,0,5.2,62,0,0.21,3.12,11.7,0,5.2,0,0.13,139,0.39,0.01,0,0,2.6,0.04,110,0,0,0,0.65,6.5,0,0.08,0,0,0,0,0
Maçã. Argenti0. c/ casca. in 0tura,7,4,3,2.5,0.34,0,18.9,21.6,0.38,0.04,0,4.41,85,4.69,0.07,2.63,14.8,0.32,6.32,0.02,0,152,0.29,0,0,0,1.71,0.07,107,4.55,9.1,0,0,1.93,0,0,0,0,0.13,0,0
