Alimento,Palatabildiade Café (0010),Palatabildiade Almoço (0010),Palatabildiade Jantar (0010),Preço,Alfa0tocoferol (Vitami0 E) (mg), Açúcar de adição (g),Carboidrato disponível (g),Carboidrato total (g), Cinzas (g), Cobre (mg), Colesterol (mg), Cálcio (mg), Energia (kJ/kcal), Equivalente de folato (mcg), Ferro (mg), Fibra alimentar (g), Fósforo (mg), Lipídios (g), Magnésio (mg), Manganês (mg), Niaci0 (mg), Potássio (mg), Proteí0 (g), Riboflavi0 (mg), Sal de adição (g), Selênio (mcg), Sódio (mg), Tiami0 (mg), Umidade (g), Vitami0 A (RAE) (mcg), Vitami0 A (RE) (mcg), Vitami0 B12 (mcg), Vitami0 B6 (mg), Vitami0 C (mg), Vitami0 D (mcg), Zinco (mg), Ácidos graxos monoinsaturados (g), Ácidos graxos poliinsaturados (g), Ácidos graxos saturados (g), Ácidos graxos 0ans (g), Álcool (g)
Batata baroa (mandioquinha. batata salsa). s/ casca. cozida. salsa. c/ manteiga. c/ pimenta0do0reino. c/ sal,0,10,10,0.929,0.23,0.00,16.2,17.8,1.53,0.14,10.7,11.5,111,6.69,0.40,1.65,28.1,4.46,7.20,0.21,1.86,243,0.82,0.00,0.47,0.36,321,0.06,75.4,56.4,62.1,0.01,0.00,16.1,0.00,0.36,1.14,0.10,2.62,0.14,0.00
Batata baroa (mandioquinha. batata salsa). s/ casca. cozida. salsa. c/ manteiga. c/ pimenta0do0reino. s/ sal,0,8,8,0.929,0.23,0.00,16.2,17.8,0.73,0.14,10.7,11.3,111,6.69,0.40,1.65,28.1,4.46,7.19,0.21,1.86,243,0.82,0.00,0.00,0.36,2.17,0.06,76.2,56.4,62.1,0.01,0.00,16.1,0.00,0.36,1.14,0.10,2.62,0.14,0.00
Batata baroa (mandioquinha. batata salsa). s/ casca. cozida. salsa. s/ óleo. c/ pimenta0do0reino. c/ sal,0,9,9,9.29,0.11,0.00,17.0,18.8,1.56,0.15,0.00,11.9,76,6.88,0.42,1.74,29.2,0.17,7.51,0.22,1.96,255,0.84,0.00,0.47,0.32,321,0.06,78.7,5.29,10.6,0.00,0.00,16.9,0.00,0.38,0.04,0.03,0.04,0.00,0.00
Batata baroa (mandioquinha. batata salsa). s/ casca. cozida. salsa. s/ óleo. c/ pimenta0do0reino. s/ sal,0,7,7,9.29,0.11,0.00,17.0,18.8,0.77,0.15,0.00,11.7,76,6.88,0.42,1.74,29.2,0.17,7.50,0.22,1.96,255,0.84,0.00,0.00,0.32,2.08,0.06,79.5,5.29,10.6,0.00,0.00,16.9,0.00,0.38,0.04,0.03,0.04,0.00,0.00
Batata frita. McDo0ld's,0,10,10,12,1.38,0,38.7,42.6,1.91,0.11,0.00,19.0,315,0,0.80,3.90,127,15.5,37.0,0.25,3.22,596,3.41,0.04,0,0.40,189,0.18,36.6,0.00,0.00,0,0.38,5.60,0,0.51,7.38,4.73,2.27,0.06,0.00
Batata. baroa (mandioquinha. batata salsa). cozida. s/ casca. dre0da. c/ óleo de soja. c/ sal,0,10,10,0.929,0.40,0.00,16.7,18.4,1.22,0.15,0.00,11.6,96,6.75,0.42,1.71,28.6,2.54,7.37,0.21,0,251,0.83,0,0.32,0.32,189,0.06,77.0,5.19,10.4,0.00,0,16.6,0.00,0.37,0.60,1.46,0.40,0.00,0.00
Batata. baroa (mandioquinha. batata salsa). s/ casca. cozida. dre0da. c/ óleo de soja. s/ sal,0,9,9,0.929,0.40,0.00,16.8,18.5,0.76,0.15,0.00,11.6,97,6.78,0.42,1.72,28.8,2.55,7.40,0.21,0,252,0.83,0,0.00,0.32,2.05,0.06,77.4,5.22,10.4,0.00,0,16.7,0.00,0.37,0.60,1.46,0.41,0.00,0.00
Batata. baroa (mandioquinha. batata salsa). sem casca. cozida. dre0da. sem óleo. sem sal,0,8,8,0.929,0.11,0.00,17.2,18.9,0.77,0.15,0.00,11.9,77,6.94,0.42,1.76,29.5,0.17,7.58,0.22,1.98,258,0.85,0,0.00,0.32,2.10,0.06,79.3,5.34,10.7,0.00,0,17.1,0.00,0.38,0.05,0.03,0.04,0.00,0.00
Batata. baroa (mandioquinha. batata salsa). sem casca. crua,0,7,7,0.929,0.08,0.00,19.6,21.6,0.83,0.04,0.00,15.2,87,15.6,0.27,1.93,40.1,0.12,10.6,0.06,0,448,0.82,0,0.00,0.20,0,0.04,76.7,12.3,24.5,0.00,0.11,6.70,0.00,0.18,0.03,0.02,0.03,0.00,0.00
Batata. baroa (mandioquinha. batata salsa). sem casca. frita. com sal,0,10,10,0.929,0.33,0,19.2,21.1,1.19,0.19,0,13.3,161,5.81,0.48,1.96,32.9,8.55,8.45,0.24,2.1,287,0.95,0,0.33,0.36,133,0.05,38.2,5.36,10.7,0,0,17.2,0,0.42,2,5.05,1.32,0,0
Batata. baroa (mandioquinha. batata salsa). sem casca. frita. sem sal,0,9,9,0.929,0.33,0,19.3,21.2,0.87,0.19,0,13.3,162,5.83,0.48,1.97,33,8.59,8.49,0.24,2.11,289,0.95,0,0,0.36,2.35,0.05,38.4,5.39,10.8,0,0,17.2,0,0.42,2.01,5.07,1.33,0,0
Batata. baroa (mandioquinha. batata salsa). sem casca. sauté (com margari0 e salsa). com sal,0,10,10,0.929,0.74,0.00,16.2,17.9,1.20,0.14,0.00,11.6,103,6.57,0.41,1.66,28.2,3.50,7.23,0.21,1.87,244,0.81,0,0.47,0.31,191,0.06,76.6,17.3,22.3,0.00,0,16.2,0.00,0.36,0.76,1.35,1.08,0.00,0.00
Batata. baroa (mandioquinha. batata salsa). sem casca. sauté (com margari0 e salsa). sem sal,0,9,9,0.929,0.75,0.00,16.3,18.0,0.74,0.14,0.00,11.5,104,6.60,0.41,1.67,28.4,3.51,7.26,0.21,1.88,245,0.81,0,0.00,0.31,3.65,0.06,77.0,17.3,22.4,0.00,0,16.2,0.00,0.36,0.76,1.35,1.09,0.00,0.00
Batata. chips. frita. com sal,0,10,10,1.999,11.0,0.00,47.5,51.5,3.61,0.12,0.00,11.5,542,29.6,0.72,4.00,99.2,35.8,24.9,0.12,2.69,1042,5.44,0,0,2.46,624,0.20,3.63,0.00,0.00,0.00,0.13,0,0.00,0.32,13.9,4.61,15.1,0.16,0.00
Batata doce. sem casca. assada. com óleo de soja. com sal,0,10,10,0.999,1.46,0.00,31.2,35.1,3.22,0.15,0.00,37.2,144,14.6,0.51,3.88,48.1,0.28,31.9,0.23,0,449,2.18,0,0.47,1.10,199,0.06,59.2,394,788,0.00,0.12,17.4,0.00,0.27,0,0.08,0.10,0.00,0.00
Batata doce. sem casca. assada. sem óleo. sem sal,0,8,8,0.999,1.47,0.00,31.4,35.3,2.76,0.15,0.00,37.3,145,14.7,0.51,3.90,48.4,0.28,32.0,0.23,0,451,2.19,0,0.00,1.11,11.6,0.06,59.5,396,792,0.00,0.12,17.5,0.00,0.27,0,0.08,0.10,0.00,0.00
Batata doce. sem casca. cozida. dre0da. com óleo de soja. com sal,0,10,10,0.999,1.44,0.00,19.8,22.4,0.92,0.08,0.00,21.0,111,7.21,0.23,2.66,18.8,2.55,13.6,0.17,3.14,181,0.83,0,0.47,0.19,191,0.10,73.3,682,1365,0.00,0.06,29.0,0.00,0.15,0.55,1.50,0.40,0.00,0.00
Batata doce. sem casca. cozida. dre0da. com óleo de soja. sem sal,0,8,8,0.999,1.44,0.00,19.9,22.5,0.46,0.08,0.00,21.0,111,7.25,0.23,2.68,18.9,2.56,13.7,0.17,3.15,181,0.83,0,0.00,0.19,3.31,0.10,73.6,685,1371,0.00,0.06,29.2,0.00,0.15,0.56,1.51,0.40,0.00,0.00
Batata doce. sem casca. cozida. dre0da. sem óleo. com sal,0,9,9,0.999,1.18,0.00,20.3,23.0,0.79,0.08,0.00,21.5,92,7.40,0.24,2.73,19.3,0.18,14.0,0.18,3.22,185,0.85,0.00,0.32,0.20,131,0.10,75.2,700,1401,0.00,0.06,29.8,0.00,0.16,0.00,0.08,0.04,0.00,0.00
Batata doce. sem casca. cozida. dre0da. sem óleo. sem sal,0,8,8,0.999,1.18,0.00,20.3,23.1,0.47,0.08,0.00,21.5,92,7.42,0.24,2.74,19.3,0.18,14.0,0.18,3.23,186,0.85,0,0.00,0.20,3.39,0.11,75.4,702,1405,0.00,0.06,29.9,0.00,0.16,0.00,0.08,0.04,0.00,0.00
Batata doce. sem casca. crua,0,7,7,0.999,1.20,0.00,25.5,28.7,2.24,0.12,0.00,30.3,118,15.9,0.42,3.17,39.3,0.23,26.0,0.19,0,366,1.78,0,0.00,0.90,9.46,0.06,67.1,357,715,0.00,0.11,17.8,0.00,0.22,0,0.06,0.08,0.00,0.00
Batata doce. sem casca. frita (com óleo de soja). com sal,0,10,10,0.999,1.41,0,21.1,23.9,0.79,0.1,0,22.4,164,5.76,0.25,2.84,20,7.95,14.5,0.18,3.18,192,0.88,0,0.31,0.21,125,0.09,31.5,654,1309,0,0.06,27.8,0,0.16,1.81,4.74,1.22,0,0
Batata doce. sem casca. frita (com óleo de soja). sem sal,0,9,9,0.999,1.42,0,21.2,24,0.49,0.1,0,22.4,165,5.79,0.25,2.85,20.1,7.98,14.6,0.18,3.19,193,0.89,0,0,0.21,3.52,0.09,31.6,657,1315,0,0.06,28,0,0.16,1.82,4.76,1.23,0,0
Batata inglesa. frita (com óleo de soja). com sal,0,10,10,"1,098",0,0.00,29.5,32.7,2.34,0.09,0.00,5.78,248,5.64,0.40,3.16,63.0,11.9,12.8,0.13,2.26,442,4.04,0,0.47,0.78,189,0.16,49.0,0,0,0.00,0.09,14.8,0.00,0.34,3.08,5.99,1.90,0.06,0.00
Batata inglesa. frita. sem sal,0,8,8,"1,098",0,0.00,29.4,32.9,1.88,0.09,0.00,5.70,248,18.3,0.40,3.18,63.3,11.9,12.8,0.13,2.28,443,4.06,0,0.00,0.78,1.74,0.16,49.3,0.00,0.00,0.00,0.09,14.8,0.00,0.34,3.10,6.01,1.99,0.06,0
Batata inglesa. sem casca. assada. com óleo de soja. com sal,0,10,10,"1,098",0.09,0.47,17.8,19.4,1.46,0.14,0.00,4.54,125,14.9,0.48,1.55,51.5,4.58,17.6,0.13,0.00,522,2.39,0.00,0.00,0.35,187,0.10,72.2,0,0,0.00,0.18,33.2,0.00,0.32,1.06,2.72,0.73,0.02,0.00
Batata inglesa. sem casca. assada. com óleo de soja. sem sal,0,9,9,"1,098",0.09,0.00,17.8,19.4,0.99,0.14,0.00,4.43,129,14.9,0.48,1.55,51.5,5.05,17.6,0.13,0.00,522,2.39,0.00,0.00,0.35,0.00,0.10,72.2,0,0,0.00,0.18,33.2,0.00,0.32,1.17,3.00,0.80,0.03,0.00
Batata inglesa. sem casca. assada. sem óleo. com sal,0,8,8,"1,098",0.01,0.00,18.8,20.4,1.04,0.13,0.00,4.66,89,15.7,0.51,1.63,54.2,0.05,18.5,0.14,0,549,2.52,0,0.47,0.37,187,0.11,76.0,0,0,0.00,0.19,34.9,0.00,0.33,0,0.02,0.01,0.00,0.00
Batata inglesa. sem casca. assada. sem óleo. sem sal,0,7,7,"1,098",0.01,0.00,18.8,20.4,1.04,0.13,0.00,4.66,89,15.7,0.51,1.63,54.2,0.05,18.5,0.14,0,549,2.52,0,0.00,0.37,0,0.11,76.0,0,0,0.00,0.19,34.9,0.00,0.33,0,0.02,0.01,0.00,0.00
Batata inglesa. sem casca. cozida. dre0da. com óleo de soja. com sal,0,10,10,"1,098",0.60,0.00,10.2,11.6,0.90,0.07,0.00,3.56,94,5.33,0.19,1.39,23.8,5.02,5.32,0.07,0,219,1.26,0,0.32,0.19,189,0.05,81.2,0,0,0.00,0.08,3.68,0.00,0.19,1.16,3.01,0.77,0.00,0.00
Batata inglesa. sem casca. cozida. dre0da. com óleo de soja. sem sal,0,9,9,"1,098",0.61,0.00,10.3,11.7,0.43,0.07,0.00,3.46,94,5.36,0.19,1.40,23.9,5.05,5.34,0.07,0,220,1.27,0,0.00,0.19,2.26,0.05,81.6,0,0,0.00,0.08,3.70,0.00,0.19,1.17,3.02,0.77,0.00,0.00
Batata inglesa. sem casca. cozida. dre0da. sem óleo. com sal,0,9,9,"1,098",0,0.00,10.8,12.2,0.92,0.06,0.00,3.74,52,5.64,0.20,1.47,25.1,0.05,5.59,0.07,0,231,1.33,0,0.32,0.20,190,0.05,85.5,0,0,0.00,0.09,3.87,0.00,0.19,0,0.02,0.01,0.00,0.00
Batata inglesa. sem casca. cozida. dre0da. sem óleo. sem sal,0,8,8,"1,098",0,0.00,10.8,12.3,0.45,0.06,0.00,3.64,52,5.64,0.20,1.47,25.2,0.05,5.62,0.07,0,232,1.33,0,0.00,0.20,2.37,0.05,85.9,0,0,0.00,0.09,3.89,0.00,0.19,0,0.02,0.01,0.00,0.00
Batata inglesa. sem casca. crua,0,7,7,"1,098",0.01,0.00,15.2,16.5,0.85,0.11,0.00,3.78,72,16.9,0.41,1.32,43.9,0.04,15.0,0.11,0,445,2.04,0,0.00,0.30,0,0.11,80.5,0,0,0.00,0.17,35.4,0.00,0.27,0,0.02,0.01,0.00,0.00
Batata inglesa. sem casca. sauté (com margari0 e salsa). com sal,0,10,10,"1,098",0.17,0.00,12.7,14.1,0.63,0.05,0,4.18,67,19.3,0.25,1.38,32.0,0.90,6.46,0.08,1.38,199,1.29,0,0.47,0.34,195,0.07,83.1,7.93,13.0,0,0.09,0,0,0.21,0.20,0.40,0.30,0.00,0.00
Bebida láctea (média de diferentes sabores),10,5,5,0.7,0.07,0,10.1,10.2,0.76,0.02,5.37,88.6,68,6.04,0,0.06,63.1,1.68,8.59,0,0.33,62.3,3.01,0.14,0.00,0,46.3,0.03,84.4,155,0,0.31,0,2.05,0.00,0.24,0.60,0,1.10,0.06,0.00
Bebida láctea. frutas vermelhas,10,5,5,1.19,0.10,0,13.2,13.2,0.70,0.03,6.76,136,85,7.34,0,0.00,97.4,2.40,13.3,0,0.51,96.1,2.70,0.21,0.00,0,71.4,0.04,81.0,222,0,0.38,0,3.17,0.00,0.38,0.76,0,1.39,0.08,0.00
Bebida láctea. morango,10,5,5,1.19,0.10,0,30.3,30.3,0.71,0.06,6.76,260,154,14.0,0,0.00,185,2.40,25.2,0,0.97,182,2.70,0.40,0.00,0,135,0.08,63.9,222,0,0.73,0,6.03,0.00,0.72,0.76,0,1.39,0.08,0.00
Bebida láctea. morango. light,10,5,5,1.5,0.06,0,4.80,4.80,1.00,0,0.00,156,36,4.07,0,0.00,109,0.00,12.0,0,0,182,4.20,0.20,0,2.44,0.00,0,90.0,2.33,2.67,0.19,0,0.32,0.00,0.51,0.00,0.00,0.00,0.00,0.00
"Bebida. café 0 infusão 10% 0 intenso. com leite des0tado (meio a meio). ""média"". sem açúcar",9,4,2,4.8,0.04,0.00,3.82,3.82,0.57,0.01,1.88,68.9,24,3.75,0.00,0.00,47.7,0.22,9.98,0.02,0.85,148,1.83,0.17,0.00,0,26.2,0.03,93.6,4.50,0.00,0.28,0,0,0.00,0.19,0.03,0.00,0.00,0.00,0.00
Bebida. café 0 infusão 10% 0 intenso. com leite des0tado (meio a meio). com açúcar,10,5,2,4.9,0.04,6.00,9.49,9.49,0.56,0.02,1.77,67.5,47,3.52,0.13,0.00,45.6,0.20,11.0,0.14,0.79,149,1.74,0.16,0.00,0.00,25.4,0.03,88.0,4.23,0.00,0.26,0,0,0.00,0.19,0.02,0.00,0.00,0.00,0.00
Bebida. café 0 infusão 10%. com substituto do leite 0 bebida vegetal à base de amêndoa (meio a meio). com açúcar,8,4,2,5.2,2.99,0.00,7.21,7.31,0.57,0.02,0.00,90.7,35,1.41,0.26,0.09,9.46,0.49,8.99,0.16,0.12,115,0.52,0.04,6.00,0.05,35.1,0.01,90.8,0.00,0.00,0.00,0,0,0.47,0.04,0.30,0.11,0.04,0.00,0.00
Bebida. café 0 infusão 10%. com substituto do leite 0 bebida vegetal à base de amêndoa (meio a meio). sem açúcar,8,4,2,5.2,3.18,0.00,1.40,1.50,0.58,0.01,0.00,93.6,13,1.50,0.14,0.10,9.25,0.52,7.83,0.04,0.13,111,0.54,0.04,0.00,0.05,36.5,0.01,96.5,0.00,0.00,0.00,0,0.00,0.50,0.03,0.32,0.12,0.04,0.00,0.00
Bebida. café 0 infusão 10%. com substituto do leite 0 bebida vegetal à base de arroz (meio a meio). sem açúcar,8,4,2,5.2,0.25,0.00,5.28,5.43,0.33,18.5,0.00,60.6,28,2.00,0.10,0.15,32.7,0.52,10.3,0.16,0.29,91.4,0.48,71.0,0.00,1.10,20.0,13.5,92.9,31.5,0,0.00,19.5,0.00,0.50,0.07,0.34,156,0.00,0.00,0.00
Bebida. café 0 infusão 10%. com substituto do leite 0 ex0ato de soja. 0tural (meio a meio). com açúcar,8,4,2,5.2,0.02,6.00,8.60,8.69,0.42,0.05,0.00,12.0,48,40.2,0.33,0.09,30.1,0.79,13.4,0.21,0.09,140,1.62,0.04,0.00,0.00,27.8,0.01,88.5,0.00,0.00,0.00,0.00,0,0.00,0.14,0.17,0.28,0.10,0.01,0.00
Bebida. café 0 infusão 10%. com substituto do leite 0 ex0ato de soja. 0tural (meio a meio). sem açúcar,8,4,2,5.2,0.02,0.00,2.87,2.96,0.42,0.04,0.00,9.84,26,42.7,0.22,0.09,31.2,0.84,12.6,0.09,0.10,138,1.70,0.04,0.00,0.00,28.8,0.01,94.1,0.00,0.00,0.00,0.00,0,0.00,0.14,0.18,0.30,0.10,0.01,0.00
"Bebida. café 0 infusão 6% 0 suave. com leite (meio a meio). ""média"". com açúcar",10,5,2,4,0.05,6.00,9.15,9.15,0.45,0.02,5.81,54.1,57,3.00,0.17,0.00,42.0,1.54,8.92,0.13,0.77,117,1.59,0.14,0.00,0,31.0,0.02,87.3,22.9,23.3,0.18,0,0,0.00,0.19,0.45,0.06,0.95,0.00,0.00
"Bebida. café 0 infusão 6% 0 suave. com leite (meio a meio). ""média"". sem açúcar",9,4,2,4,0.05,0.00,3.46,3.46,0.45,0.01,6.19,54.6,35,3.19,0.04,0.00,43.8,1.64,7.76,0.01,0.82,113,1.67,0.14,0.00,0,32.2,0.02,92.8,24.4,24.8,0.19,0,0,0.00,0.19,0.48,0.06,1.01,0.00,0.00
Bebida. café 0 infusão 6% 0 suave. com leite des0tado (meio a meio). sem açúcar,9,4,2,4.2,0.03,0.00,3.48,3.48,0.49,0.01,17.7,68.3,22,3.35,0.00,0.00,45.8,0.20,8.04,0.01,0.81,117,1.69,0.16,0.00,0,26.0,0.02,94.1,4.50,0.00,0.28,0,0,0.00,0.19,0.02,0.00,0.12,0.00,0.00
"Bebida. café 0 infusão 6% 0 suave. com leite des0tado (meio a meio). ""média"". com açúcar",10,5,2,4.3,0.03,6.00,9.17,9.17,0.49,0.02,17.7,66.9,45,3.15,0.13,0.00,43.8,0.19,9.19,0.13,0.76,120,1.61,0.15,0.00,0,25.2,0.02,88.5,4.23,0.00,0.26,0,0,0.00,0.19,0.01,0.00,0.12,0.00,0.00
"Bebida. café 0 infusão 8% 0 média. com leite (meio a meio). ""média"". sem açúcar",9,4,2,4.3,0.05,0.00,3.63,3.63,0.48,0.01,6.19,54.9,36,3.39,0.04,0.00,44.8,1.65,8.72,0.02,0.84,128,1.73,0.15,0.00,0,32.3,0.03,92.5,24.4,24.8,0.19,0,0,0.00,0.19,0.49,0.06,1.01,0.00,0.00
Bebida. café 0 infusão 8% 0 média. com leite (meio a meio). com açúcar,10,5,2,4.3,0.05,6.00,9.31,9.31,0.48,0.02,5.81,54.4,58,3.19,0.17,0.00,42.9,1.55,9.83,0.14,0.79,131,1.65,0.14,0.00,0,31.1,0.02,87.0,22.9,23.3,0.18,0,0,0.00,0.19,0.46,0.06,0.95,0.00,0.00
"Bebida. café 0 infusão 8% 0 média. com leite des0tado (meio a meio). ""média"". sem açúcar",9,4,2,4.2,0.04,0.00,3.65,3.65,0.53,0.01,18.8,68.6,23,3.55,0.00,0.00,46.7,0.21,9.01,0.02,0.83,132,1.76,0.16,0.00,0,26.1,0.03,93.9,4.50,0.00,0.28,0,0,0.00,0.19,0.02,0.00,0.13,0.00,0.00
"Bebida. café 0 infusão 8% 0 média. com leite des0tado (meio a meio). ""média"". com açúcar",10,5,2,4.3,0.03,6.00,9.33,9.33,0.53,0.02,17.7,67.2,46,3.33,0.13,0.00,44.7,0.20,10.1,0.14,0.78,135,1.67,0.16,0.00,0,25.3,0.02,88.3,4.23,0.00,0.26,0,0,0.00,0.19,0.02,0.00,0.12,0.00,0.00
"Bebida. café descafei0do 0 infusão 10% 0 intenso. com leite (meio a meio). ""média"". com açúcar",10,5,2,4,0.04,6.00,3.26,3.69,0.34,0.02,6.19,55.0,61,2.59,0.08,0.43,42.7,1.78,7.36,0.02,0.86,87.7,1.57,0.12,0.00,0,32.7,0.02,92.7,24.4,24.8,0.19,0,0.00,0.00,0.20,0.48,0.12,1.06,0.00,0.00
"Bebida. café descafei0do 0 infusão 10% 0 intenso. com leite (meio a meio). ""média"". sem açúcar",9,4,2,4,0.04,0.00,3.26,3.69,0.34,0.02,6.19,55.0,36,2.59,0.08,0.43,42.7,1.78,7.36,0.02,0.86,87.7,1.57,0.12,0.00,0,32.7,0.02,92.6,24.4,24.8,0.19,0,0.00,0.00,0.20,0.48,0.12,1.06,0.00,0.00
Bebida. café descafei0do 0 infusão 10% 0 intenso. com leite des0tado (meio a meio),10,5,2,4.2,0.02,0.00,3.27,3.71,0.39,0.02,1.88,68.7,23,2.75,0.04,0.43,44.6,0.34,7.65,0.02,0.85,91.5,1.60,0.14,0.00,0,26.5,0.02,94.0,4.50,0.00,0.28,0,0.00,0.00,0.20,0.01,0.06,0.06,0.00,0.00
"Bebida. café descafei0do 0 infusão 10% 0 intenso. com leite des0tado (meio a meio). ""média"". com açúcar",10,5,2,4.3,0.02,6.00,3.27,3.71,0.39,0.02,1.88,68.7,49,2.75,0.04,0.43,44.6,0.34,7.65,0.02,0.85,91.5,1.60,0.14,0.00,0,26.5,0.02,94.0,4.50,0.00,0.28,0,0.00,0.00,0.20,0.01,0.06,0.06,0.00,0.00
"Bebida. café descafei0do 0 infusão 6% 0 suave. com leite (meio a meio). ""média"". com açúcar",10,5,2,4,0.04,6.00,3.14,3.40,0.34,0.02,6.19,54.4,60,2.59,0.08,0.26,42.0,1.71,6.36,0.01,0.82,79.3,1.53,0.12,0.00,0,32.3,0.02,93.3,24.4,24.8,0.19,0,0.00,0.00,0.20,0.47,0.10,1.04,0.00,0.00
Bebida. café descafei0do 0 infusão 6% 0 suave. com leite (meio a meio). sem açúcar,9,4,2,4,0.04,0.00,3.14,3.40,0.34,0.02,6.19,54.4,35,2.59,0.08,0.26,42.0,1.71,6.36,0.01,0.82,79.3,1.53,0.12,0.00,0,32.3,0.02,93.3,24.4,24.8,0.19,0,0.00,0.00,0.20,0.47,0.10,1.04,0.00,0.00
"Bebida. café descafei0do 0 infusão 6% 0 suave. com leite des0tado (meio a meio). ""média"". com açúcar",10,5,2,4.2,0.02,6.00,3.15,3.41,0.39,0.02,1.88,68.1,47,2.75,0.04,0.26,43.9,0.28,6.65,0.01,0.81,83.1,1.56,0.13,0.00,0,26.2,0.02,94.7,4.50,0.00,0.28,0,0.00,0.00,0.20,0.01,0.04,0.03,0.00,0.00
"Bebida. café descafei0do 0 infusão 6% 0 suave. com leite des0tado (meio a meio). ""média"". sem açúcar",9,4,2,4.3,0.02,0.00,3.15,3.41,0.39,0.02,1.88,68.1,22,2.75,0.04,0.26,43.9,0.28,6.65,0.01,0.81,83.1,1.56,0.13,0.00,0,26.2,0.02,94.6,4.50,0.00,0.28,0,0.00,0.00,0.20,0.01,0.04,0.03,0.00,0.00
"Bebida. café descafei0do 0 infusão 8% 0 médio. com leite (meio a meio). ""média"". com açúcar",10,5,2,4,0.04,6.00,3.01,3.33,0.32,0.02,5.81,51.4,57,2.44,0.07,0.33,39.8,1.64,6.45,0.02,0.79,78.5,1.46,0.11,0.00,0,30.5,0.02,87.3,22.9,23.3,0.18,0,0.00,0.00,0.19,0.45,0.10,0.99,0.00,0.00
"Bebida. café descafei0do 0 infusão 8% 0 médio. com leite (meio a meio). ""média"". sem açúcar",9,4,2,4,0.04,0.00,3.20,3.54,0.34,0.02,6.19,54.7,35,2.59,0.07,0.35,42.3,1.75,6.86,0.02,0.84,83.5,1.55,0.12,0.00,0,32.5,0.02,92.8,24.4,24.8,0.19,0,0.00,0.00,0.20,0.48,0.11,1.05,0.00,0.00
"Bebida. café descafei0do 0 infusão 8% 0 médio. com leite des0tado (meio a meio). ""média"". com açúcar",10,5,2,4.2,0.02,6.00,3.02,3.35,0.36,0.02,1.77,64.3,45,2.58,0.03,0.33,41.6,0.29,6.72,0.02,0.78,82.1,1.48,0.13,0.00,0,24.8,0.02,88.6,4.23,0.00,0.26,0,0.00,0.00,0.19,0.01,0.04,0.04,0.00,0.00
"Bebida. café descafei0do 0 infusão 8% 0 médio. com leite des0tado (meio a meio). ""média"". sem açúcar",9,4,2,4.3,0.02,0.00,3.22,3.56,0.39,0.02,1.88,68.4,23,2.75,0.03,0.35,44.3,0.31,7.15,0.02,0.83,87.3,1.58,0.13,0.00,0,26.3,0.02,94.2,4.50,0.00,0.28,0,0.00,0.00,0.20,0.01,0.05,0.05,0.00,0.00
Bebida. café. com leite (meio a meio). com açúcar,10,5,2,4,0.05,6.00,9.42,9.42,0.52,0.01,5.81,52.1,59,3.38,0.04,0.00,43.0,1.55,9.14,0.02,0.80,136,1.72,0.15,0.00,2.30,31.2,0.03,86.8,22.9,23.3,0.18,0.00,0.00,0.00,0.18,0.46,0.06,0.95,0.00,0.00
Bebida. café. com leite (meio a meio). sem açúcar,9,4,2,4,0.06,0.00,3.70,3.70,0.52,0.01,6.19,55.2,37,3.59,0.04,0.00,45.7,1.65,9.69,0.02,0.86,144,1.82,0.16,0.00,2.40,32.4,0.03,92.3,24.4,24.8,0.19,0.00,0.00,0.00,0.19,0.49,0.06,1.01,0.00,0.00
Bebida. café. descafei0do. infusão 10%. sem açúcar,9,4,2,4,0.00,0.00,0.60,1.46,0.00,0.02,0.00,2.72,8,0.00,0.09,0.87,3.34,0.32,5.02,0.04,0.21,42.2,0.22,0.00,0.00,0,1.55,0.00,98.0,0.00,0.00,0.00,0,0,0.00,0.02,0.02,0.12,0.11,0.00,0.00
Bebida. café. descafei0do. infusão 6%. com açúcar,10,5,2,4,0.00,6.00,6.24,6.72,0.03,0.01,0.00,4.29,28,0.00,0.21,0.49,2.65,0.18,4.46,0.15,0.12,34.4,0.14,0.00,0.00,0,1.62,0.00,93.4,0.00,0.00,0.00,0,0,0.00,0.02,0.01,0.07,0.06,0.00,0.00
Bebida. café. descafei0do. infusão 6%. sem açúcar,9,4,2,4,0.00,0.00,0.36,0.88,0.00,0.01,0.00,1.63,5,0.00,0.09,0.52,2.01,0.19,3.01,0.03,0.13,25.3,0.13,0.00,0.00,0,0.93,0.00,99.3,0.00,0.00,0.00,0,0,0.00,0.01,0.01,0.07,0.07,0.00,0.00
Bebida. café. descafei0do. infusão 8% 0 médio. com açúcar,10,5,2,4,0.00,6.00,6.35,7.00,0.03,0.02,0.00,4.80,30,0.00,0.20,0.65,3.28,0.24,5.40,0.16,0.16,42.4,0.18,0.01,0.00,0,1.91,0.00,92.5,0.00,0.00,0.00,0,0,0.00,0.02,0.02,0.09,0.09,0.00,0.00
Bebida. café. descafei0do. infusão 8% 0 médio. sem açúcar,9,4,2,4,0.00,0.00,0.48,1.17,0.00,0.01,0.00,2.17,6,0.00,0.07,0.69,2.68,0.26,4.01,0.04,0.17,33.8,0.17,0.00,0.00,0,1.24,0.00,98.4,0.00,0.00,0.00,0,0,0.00,0.01,0.02,0.09,0.09,0.00,0.00
